cveID,count
CVE-2021-30633,1
CVE-2020-16013,1
CVE-2021-30632,1
CVE-2020-16009,1
CVE-2021-37976,1
CVE-2020-16017,1
CVE-2021-21166,1
CVE-2020-15999,1
CVE-2020-16010,1
CVE-2018-13379,1
CVE-2020-12812,1
CVE-2019-5591,1
CVE-2021-35464,1
CVE-2020-6418,1
CVE-2021-30554,1
CVE-2021-21206,1
CVE-2019-4716,1
CVE-2021-22506,1
CVE-2021-23874,1
CVE-2020-7961,1
CVE-2021-30116,1
CVE-2020-15505,1
CVE-2016-3718,1
CVE-2016-3715,1
CVE-2020-4428,1
CVE-2021-38000,1
CVE-2020-4427,1
CVE-2020-4430,1
CVE-2021-30563,1
CVE-2021-21220,1
CVE-2021-21193,1
CVE-2021-21224,1
CVE-2021-38003,1
CVE-2021-22986,1
CVE-2020-8655,1
CVE-2021-30869,1
CVE-2020-8657,1
CVE-2020-3566,1
CVE-2020-3118,1
CVE-2018-0171,1
CVE-2021-1498,1
CVE-2021-1497,1
CVE-2020-3580,1
CVE-2020-3452,1
CVE-2021-42258,1
CVE-2019-3396,1
CVE-2019-11580,1
CVE-2021-26084,1
CVE-2019-3398,1
CVE-2021-28663,1
CVE-2021-28664,1
CVE-2021-27562,1
CVE-2021-20090,1
CVE-2020-9859,1
CVE-2020-3569,1
CVE-2020-3161,1
CVE-2019-1653,1
CVE-2018-15811,1
CVE-2018-6789,1
CVE-2021-22205,1
CVE-2018-7600,1
CVE-2020-8515,1
CVE-2019-15752,1
CVE-2017-9822,1
CVE-2018-18325,1
CVE-2020-25506,1
CVE-2018-0296,1
CVE-2020-29557,1
CVE-2019-11634,1
CVE-2019-19781,1
CVE-2020-8196,1
CVE-2020-8195,1
CVE-2020-8193,1
CVE-2019-13608,1
CVE-2022-29464,1
CVE-2014-0322,1
CVE-2019-9875,1
CVE-2024-30051,1
CVE-2024-23225,1
CVE-2024-27198,1
CVE-2023-48788,1
CVE-2021-44529,1
CVE-2019-7256,1
CVE-2023-24955,1
CVE-2024-29745,1
CVE-2024-29748,1
CVE-2024-3272,1
CVE-2024-3273,1
CVE-2024-3400,1
CVE-2022-38028,1
CVE-2024-20353,1
CVE-2024-20359,1
CVE-2024-4040,1
CVE-2024-29988,1
CVE-2023-7028,1
CVE-2024-23296,1
CVE-2023-21237,1
CVE-2021-36380,1
CVE-2023-4762,1
CVE-2024-0519,1
CVE-2023-35082,1
CVE-2023-34048,1
CVE-2024-23222,1
CVE-2023-22527,1
CVE-2024-21893,1
CVE-2022-48618,1
CVE-2024-21762,1
CVE-2024-21338,1
CVE-2023-43770,1
CVE-2024-21351,1
CVE-2024-21412,1
CVE-2024-21410,1
CVE-2020-3259,1
CVE-2024-1709,1
CVE-2023-29360,1
CVE-2024-4671,1
CVE-2024-30040,1
CVE-2023-6548,1
CVE-2014-100005,1
CVE-2024-38080,1
CVE-2024-23692,1
CVE-2024-36401,1
CVE-2024-34102,1
CVE-2024-28995,1
CVE-2022-22948,1
CVE-2012-4792,1
CVE-2024-39891,1
CVE-2024-4879,1
CVE-2024-5217,1
CVE-2023-45249,1
CVE-2024-37085,1
CVE-2018-0824,1
CVE-2024-36971,1
CVE-2024-32113,1
CVE-2024-38189,1
CVE-2024-38178,1
CVE-2024-38112,1
CVE-2024-20399,1
CVE-2020-13965,1
CVE-2024-24919,1
CVE-2021-40655,1
CVE-2024-4761,1
CVE-2023-43208,1
CVE-2024-4947,1
CVE-2020-17519,1
CVE-2024-5274,1
CVE-2024-4978,1
CVE-2024-1086,1
CVE-2022-2586,1
CVE-2017-3506,1
CVE-2024-4610,1
CVE-2024-4577,1
CVE-2024-32896,1
CVE-2024-26169,1
CVE-2024-4358,1
CVE-2022-24816,1
CVE-2023-6549,1
CVE-2018-15133,1
CVE-2024-38193,1
CVE-2023-46748,1
CVE-2018-14667,1
CVE-2023-5217,1
CVE-2023-4211,1
CVE-2023-28229,1
CVE-2023-42793,1
CVE-2023-42824,1
CVE-2023-40044,1
CVE-2023-22515,1
CVE-2023-44487,1
CVE-2023-36563,1
CVE-2023-41763,1
CVE-2023-20109,1
CVE-2023-21608,1
CVE-2023-20198,1
CVE-2023-4966,1
CVE-2023-20273,1
CVE-2023-5631,1
CVE-2023-41991,1
CVE-2023-41992,1
CVE-2023-41993,1
CVE-2023-4863,1
CVE-2023-32315,1
CVE-2023-38831,1
CVE-2023-33246,1
CVE-2023-41061,1
CVE-2023-41064,1
CVE-2023-36802,1
CVE-2023-36761,1
CVE-2023-20269,1
CVE-2023-41179,1
CVE-2023-35674,1
CVE-2023-26369,1
CVE-2021-3129,1
CVE-2017-6884,1
CVE-2014-8361,1
CVE-2022-22265,1
CVE-2023-28434,1
CVE-2023-46747,1
CVE-2023-46604,1
CVE-2023-29357,1
CVE-2023-22518,1
CVE-2023-33106,1
CVE-2023-33107,1
CVE-2023-41265,1
CVE-2023-41266,1
CVE-2023-6448,1
CVE-2023-47565,1
CVE-2023-49897,1
CVE-2023-7024,1
CVE-2023-7101,1
CVE-2023-38203,1
CVE-2023-29300,1
CVE-2023-27524,1
CVE-2023-41990,1
CVE-2016-20017,1
CVE-2023-23752,1
CVE-2024-21887,1
CVE-2023-46805,1
CVE-2023-33063,1
CVE-2022-22071,1
CVE-2023-42917,1
CVE-2023-36036,1
CVE-2023-29552,1
CVE-2023-36851,1
CVE-2023-36847,1
CVE-2023-36846,1
CVE-2023-36845,1
CVE-2023-36844,1
CVE-2023-47246,1
CVE-2023-36025,1
CVE-2023-42916,1
CVE-2023-36033,1
CVE-2020-2551,1
CVE-2023-1671,1
CVE-2023-36584,1
CVE-2023-4911,1
CVE-2023-49103,1
CVE-2023-6345,1
CVE-2024-38213,1
CVE-2024-38106,1
CVE-2023-27532,1
CVE-2025-24200,1
CVE-2025-23006,1
CVE-2025-24085,1
CVE-2024-45195,1
CVE-2024-29059,1
CVE-2018-9276,1
CVE-2018-19410,1
CVE-2024-53104,1
CVE-2025-0411,1
CVE-2022-23748,1
CVE-2024-21413,1
CVE-2020-29574,1
CVE-2020-15069,1
CVE-2025-0994,1
CVE-2025-21391,1
CVE-2025-21418,1
CVE-2024-40890,1
CVE-2024-40891,1
CVE-2020-11023,1
CVE-2024-50603,1
CVE-2025-21335,1
CVE-2024-3393,1
CVE-2024-55956,1
CVE-2018-14933,1
CVE-2022-23227,1
CVE-2019-11001,1
CVE-2021-40407,1
CVE-2024-12356,1
CVE-2021-44207,1
CVE-2024-41713,1
CVE-2025-21334,1
CVE-2024-55550,1
CVE-2020-2883,1
CVE-2025-0282,1
CVE-2024-12686,1
CVE-2023-48365,1
CVE-2024-55591,1
CVE-2025-21333,1
CVE-2024-41710,1
CVE-2024-57727,1
CVE-2024-20767,1
CVE-2024-53704,1
CVE-2024-13160,1
CVE-2024-13161,1
CVE-2025-26633,1
CVE-2025-24983,1
CVE-2025-24984,1
CVE-2025-24985,1
CVE-2025-24991,1
CVE-2025-24993,1
CVE-2025-24201,1
CVE-2025-21590,1
CVE-2025-24472,1
CVE-2025-30066,1
CVE-2025-1316,1
CVE-2024-48248,1
CVE-2017-12637,1
CVE-2025-30154,1
CVE-2019-9874,1
CVE-2024-13159,1
CVE-2024-57968,1
CVE-2025-25181,1
CVE-2023-34192,1
CVE-2025-0108,1
CVE-2025-23209,1
CVE-2025-0111,1
CVE-2025-24989,1
CVE-2017-3066,1
CVE-2024-20953,1
CVE-2024-49035,1
CVE-2023-20118,1
CVE-2025-22226,1
CVE-2022-43939,1
CVE-2022-43769,1
CVE-2018-8639,1
CVE-2024-4885,1
CVE-2024-50302,1
CVE-2025-22224,1
CVE-2025-22225,1
CVE-2024-35250,1
CVE-2024-50623,1
CVE-2024-38107,1
CVE-2024-43572,1
CVE-2024-43461,1
CVE-2024-6670,1
CVE-2014-0497,1
CVE-2013-0643,1
CVE-2013-0648,1
CVE-2014-0502,1
CVE-2024-27348,1
CVE-2020-0618,1
CVE-2022-21445,1
CVE-2020-14644,1
CVE-2024-8963,1
CVE-2024-7593,1
CVE-2023-25280,1
CVE-2020-15415,1
CVE-2019-0344,1
CVE-2024-29824,1
CVE-2024-45519,1
CVE-2024-8190,1
CVE-2024-38217,1
CVE-2024-38014,1
CVE-2024-7971,1
CVE-2024-28986,1
CVE-2024-23897,1
CVE-2021-33044,1
CVE-2021-33045,1
CVE-2022-0185,1
CVE-2021-31196,1
CVE-2024-39717,1
CVE-2024-38856,1
CVE-2024-38226,1
CVE-2024-7965,1
CVE-2021-20123,1
CVE-2021-20124,1
CVE-2024-7262,1
CVE-2016-3714,1
CVE-2017-1000253,1
CVE-2024-40766,1
CVE-2024-43047,1
CVE-2024-43573,1
CVE-2024-49138,1
CVE-2024-23113,1
CVE-2014-2120,1
CVE-2021-26086,1
CVE-2024-9463,1
CVE-2024-9465,1
CVE-2024-1212,1
CVE-2024-0012,1
CVE-2024-9474,1
CVE-2024-38812,1
CVE-2024-38813,1
CVE-2024-44308,1
